"","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id"
"146","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2014",-1.87884879112,"2014","2006","21",0,1,0
"150","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2007",-0.870891928673,"2007","2006","21",0,0,0
"151","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2010",-0.563159823418,"2010","2006","21",0,0,0
"153","UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2009",-1.05670726299,"2009","2006","21",0,0,0
"154","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2013",-2.18906712532,"2013","2006","22",0,1,0
"155","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2009",-1.94762682915,"2009","2006","22",0,0,0
"156","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2007",-1.78555166721,"2007","2006","22",0,0,0
"157","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2016",-1.62535405159,"2016","2006","22",0,1,0
"158","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2015",-2.06720209122,"2015","2006","22",0,1,0
"160","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2014",-2.13676333427,"2014","2006","22",0,1,0
"161","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2008",-2.53243350983,"2008","2006","22",0,0,0
"164","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2011",-2.54908823967,"2011","2006","22",0,1,0
"166","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2010",-1.12612521648,"2010","2006","22",0,0,0
"167","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2012",-1.69469106197,"2012","2006","22",0,1,0
"169","UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2006",-1.76235485077,"2006","2006","22",0,0,0
"171","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2010",-1.13511097431,"2010","2006","23",0,0,0
"172","UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2007",-1.90779924393,"2007","2006","23",0,0,0
